Status settings, Nastavení stavu
Extended settings, Pokročilé nastavení
"Please set up a project in the merchant menu of SOFORT AG (please make sure to create a 'SOFORT Gateway Project'). In the next step, you just need your configuration key", "Založte si prosím v menu pro prodejce společnosti SOFORT AG projekt (Dbejte přitom na to, abyste založili  'SOFORT Gateway projekt').  V dalším úkonu potřebujete pouze svůj konfigurační klíč"
Project set-up, Zřízení projektu
"In order to offer SOFORT Banking, you need a customer account with SOFORT AG. You are not a customer yet? <a href='https://www.sofort.com/payment/users/register/'>Register now!</a>", "Abyste mohli nabídnout SOFORT Banking, potřebujete zákaznický účet u společnosti SOFORT AG. Nejste ještě zákazníkem? <a href='https://www.sofort.com/payment/users/register/'>Registrujte se nyní!</a>"
Registration, Registrace
"Just a few steps are required to use SOFORT Banking:", "Abyste mohli používat SOFORT Banking, je nutno provést jen několik úkonů:"
"SOFORT Banking is the direct payment system provided by SOFORT AG. SOFORT Banking allows buyers to make a wire transfer of the respective amount during the order process using their online banking account. You as a merchant will receive a real-time confirmation after the SOFORT Banking transaction has been completed. This enables you to immediately ship goods on stock and digital goods - and the buyer will receive the purchased items faster. Learn more about SOFORT Banking and SOFORT AG at <a href='http://www.sofort.com' target='_blank'>sofort.com</a>", "SOFORT Banking je způsob platby příkazem k úhradě společnosti SOFORT AG. Přes SOFORT Banking nastavují kupující ještě během objednávání převod příslušné částky pohodlně na svůj účet internetového bankovnictví. Vy jako obchodník dostanete po ukončení převodu přes SOFORT Banking potvrzení v reálném čase. Můžete tak okamžitě zaslat zboží skladem a digitální zboží – a kupující obdrží své nákupy rychleji. Více o SOFORT Banking a společnosti SOFORT AG na <a href='http://www.sofort.com' target='_blank'>sofort.com</a>"
"<li>Payment system with data protection certified by TÜV Saarland</li><li>No registration required</li><li>Stock goods/content can be shipped/activated immediately</li><li>Please have your online banking details ready</li>", "<li>Platební systém certifikovaný TÜV Saarland s ověřenou ochranou osobních údajů</li><li>Není nutná žádná registrace</li><li>Pokud je zboží / digitální obsah k dispozici, může být zaslán / aktivován okamžite</li><li>Připravte si údaje pro své internetové bankovnictví (přihlašovací a autorizační údaje)</li>"
Buyer protection for payment by SOFORT Banking! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">More information.</a>, Při platbě pomocí SOFORT Banking využíváte ochrany kupujícího! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">Více informací.</a>
Send receipt emails, Odeslat dokladové e-maily
