Status settings, Statuseinstellungen
Extended settings, Erweiterte Einstellungen 
"Please set up a project in the merchant menu of SOFORT AG (please make sure to create a 'SOFORT Gateway Project'). In the next step, you just need your configuration key", "Bitte richten Sie im Anbietermenü der SOFORT AG ein Projekt ein (Bitte achten Sie darauf ein 'SOFORT Gateway-Projekt' anzulegen). Sie benötigen im nächsten Schritt lediglich Ihren Konfigurationsschlüssel"
Project set-up, Einrichtung eines Projekts 
"In order to offer SOFORT Banking, you need a customer account with SOFORT AG. You are not a customer yet? <a href='https://www.sofort.com/payment/users/register/'>Register now!</a>", "Um SOFORT Überweisung anbieten zu können benötigen Sie einen Kundenaccount bei SOFORT AG. Sie sind noch kein Kunde? <a href='https://www.sofort.com/payment/users/register/'>Registrieren Sie sich jetzt!</a> "
Registration, Registrierung
"Just a few steps are required to use SOFORT Banking:", "Um SOFORT Überweisung nutzen zu können sind einige Schritte notwendig:"
"SOFORT Banking is the direct payment system provided by SOFORT AG. SOFORT Banking allows buyers to make a wire transfer of the respective amount during the order process using their online banking account. You as a merchant will receive a real-time confirmation after the SOFORT Banking transaction has been completed. This enables you to immediately ship goods on stock and digital goods - and the buyer will receive the purchased items faster. Learn more about SOFORT Banking and SOFORT AG at <a href='http://www.sofort.com' target='_blank'>sofort.com</a>", "Sofort Überweisung ist das Direkt Überweisungsverfahren der SOFORT AG. Mit SOFORT Überweisung stellen Käufer noch während Ihrer Bestellung bequem eine Überweisung über den jeweiligen Betrag in Ihr Online-Banking-Konto ein. Sie als Händler erhalten nach Abschluss der SOFORT Überweisung eine Echtzeitbestätigung. So können Sie Lagerware und digitale Güter sofort versenden - und der Käufer erhält seine Einkäufe schneller. Mehr zu SOFORT Überweisung und der SOFORT AG auf <a href='http://www.sofort.com' target='_blank'>sofort.com</a>"
"<li>Payment system with data protection certified by TÜV Saarland</li><li>No registration required</li><li>Stock goods/content can be shipped/activated immediately</li><li>Please have your online banking details ready</li>", "<li>Vom TÜV Saarland zertifiziertes Zahlungssystem mit geprüftem Datenschutz</li><li>Keine Registrierung notwendig</li><li>Ware/Content kann bei Verfügbarkeit SOFORT versendet/freigeschaltet werden</li><li>Bitte halten Sie Ihre Online-Banking-Daten (PIN/TAN) bereit</li>"
Buyer protection for payment by SOFORT Banking! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">More information.</a>, Bei Bezahlung mit SOFORT Überweisung genießen Sie Käuferschutz! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">Mehr Informationen.</a>
Send receipt emails, Beleg E-Mails senden
Customer protection active, Käuferschutz aktivieren
SOFORT Banking, SOFORT Überweisung
Set-up and configuration, Einrichtung und Konfiguration
Your benefits,Ihre Vorteile:
About SOFORT Banking,Über SOFORT Überweisung
Only your configuration key will be needed in the next steps.,Sie benötigen im nächsten Schritt lediglich Ihren Konfigurationsschlüssel.
Module configuration,Modulkonfiguration
Settings,Basiseinstellungen
Activate the module and enter the configuration key. SOFORT Banking will be immediately available in your checkout. Additional settings are not required.,Einfach das Modul aktivieren und Konfigurationsschlüssel eintragen. SOFORT Überweisung ist damit sofort in Ihrem Checkout verfügbar. Weitere Einstellungen sind nicht notwendig.
Activate SOFORT Banking in your shop,Aktivieren Sie SOFORT Überweisung in Ihrem Shop
Use the main website setting,Main Website-Einstellung verwenden
Configuration key:,Konfigurationsschlüssel:
Adjust the SOFORT Banking module properties here. <a onclick='%s'>(Click to open)</a>,Passen Sie hier das Verhalten des SOFORT Überweisungs-Moduls an. <a onclick='%s'>(Klicken um zu öffnen)</a>
Display settings in the checkout,Anzeigeeinstellungen im Checkout
Sort sequence:,Anzeigereihenfolge:
Display in the checkout:,Darstellung im Checkout:
Please bear in mind that to offer buyer protection to your customers you will need a SOFORT Bank account and activate the feature buyer protection in your project settings,"Bitte beachten Sie, dass Sie ein SOFORT Bank-Konto benötigen und der Käuferschutz in Ihren Projekteinstellungen aktiviert sein muss um Ihren Kunden den Käuferschutz anzubieten."
Show only for specific countries:,Nur für bestimmte Ländern anzeigen:
Reference settings,Verwendungszweckeinstellungen
Reference:,Verwendungszweck:
Reference 2:,Verwendungszweck 2:
