Status settings, Configuración de estado
Extended settings, Configuración avanzada
"Please set up a project in the merchant menu of SOFORT AG (please make sure to create a 'SOFORT Gateway Project'). In the next step, you just need your configuration key", "Por favor, cree un proyecto en el Área de Cliente de SOFORT AG (recuerde crear un 'Proyecto de SOFORT Gateway'). En el siguiente paso solo necesita su clave de configuración"
Project set-up, Creación de un proyecto
"In order to offer SOFORT Banking, you need a customer account with SOFORT AG. You are not a customer yet? <a href='https://www.sofort.com/payment/users/register/'>Register now!</a>", "Para poder ofrecer SOFORT Banking necesita una cuenta de cliente de SOFORT AG. ¿Si aún no es cliente? <a href='https://www.sofort.com/payment/users/register/'>¡Regístrese ahora!</a>"
Registration, Registro
"Just a few steps are required to use SOFORT Banking:", "Para poder utilizar SOFORT Banking es necesario efectuar algunos pasos:"
"SOFORT Banking is the direct payment system provided by SOFORT AG. SOFORT Banking allows buyers to make a wire transfer of the respective amount during the order process using their online banking account. You as a merchant will receive a real-time confirmation after the SOFORT Banking transaction has been completed. This enables you to immediately ship goods on stock and digital goods - and the buyer will receive the purchased items faster. Learn more about SOFORT Banking and SOFORT AG at <a href='http://www.sofort.com' target='_blank'>sofort.com</a>", "SOFORT Banking es el sistema de transferencia directa de SOFORT AG. Con SOFORT Banking, los compradores pueden ordenar una transferencia por el importe correspondiente a su cuenta bancaria online con toda comodidad mientras realizan el pedido. Como vendedor, usted recibe una confirmación en tiempo real de la transferencia efectuada mediante SOFORT Banking. De este modo, puede enviar las mercancías y los artículos digitales de inmediato ―y el comprador recibe sus compras más rápidamente. Más información acerca de SOFORT Banking y SOFORT AG en <a href='http://www.sofort.com' target='_blank'>sofort.com</a>"
"<li>Payment system with data protection certified by TÜV Saarland</li><li>No registration required</li><li>Stock goods/content can be shipped/activated immediately</li><li>Please have your online banking details ready</li>", "<li>Sistema de pago con protección de datos certificado por TÜV Saarland (organismo alemán de certificación e inspección)</li><li>No es necesario registrarse</li><li>Las mercancías o los contenidos se podrán tramitar de inmediato dependiendo de la disponibilidad</li><li>Por favor, tenga a mano los datos de acceso de su banca online (datos de acceso y claves de confirmación)</li>"
Buyer protection for payment by SOFORT Banking! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">More information.</a>, ¡Si paga con SOFORT Banking se beneficiará de la protección al comprador! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">Más información.</a>
Send receipt emails, Enviar correos electrónicos justificantes de pago
Customer protection active, Activar la protección al comprador
SOFORT Banking, SOFORT Banking
Set-up and configuration, Instalación y configuración
Your benefits,Sus ventajas:
About SOFORT Banking,Acerca de SOFORT Banking
Only your configuration key will be needed in the next steps.,En el siguiente paso sólo necesita su clave de configuración.
Module configuration,Configuración del módulo
Settings,Ajustes básicos
Activate the module and enter the configuration key. SOFORT Banking will be immediately available in your checkout. Additional settings are not required.,Active el módulo e introduzca la llave de configuración. Inmediatamente SOFORT Banking se podrá seleccionar como método de pago en el Checkout de su tienda online. No se requieren más ajustes.
Activate SOFORT Banking in your shop,Active SOFORT Banking en su tienda
Use the main website setting,Utilizar la configuración de la página web principal
Configuration key:,Clave de configuración:
Adjust the SOFORT Banking module properties here. <a onclick='%s'>(Click to open)</a>,Aquí puede configurar el módulo de SOFORT Banking. <a onclick='%s'>(Haga clic para abrir)</a>
Display settings in the checkout,Ajustes de visualización del proceso de pago
Sort sequence:,Orden de visualización
Display in the checkout:,Visualización durante el proceso de pago:
Please bear in mind that to offer buyer protection to your customers you will need a SOFORT Bank account and activate the feature buyer protection in your project settings,Recuerde que necesita una cuenta de SOFORT Bank y que la protección al comprador ha de ser activada en la configuración del proyecto para poderla ofrecer a sus clientes.
Show only for specific countries:,Mostrar solo con determinados países:
Reference settings,Ajustes del concepto
Reference:,Concepto
Reference 2:,Concepto 2
"The following placeholders are allowed:<br/><ul>
<li>Order number:  {{orderid}}</li>
<li>Customer name: {{name}}</li>
<li>Date: {{date}}</li>
<li>Shop name: {{shopname}}</li>
<li>Transaction: {{transaction}}</li></ul>","<ul>
<li>Número de pedido: {{orderid}}</li>
<li>Cliente: {{name}}</li>
<li>Fecha de facturación: {{date}}</li>
<li>Tienda: {{shopname}}</li>
<li>Transacción: {{transaction}}</li></ul>"
"Please adjust these settings only if you are familiar with status handling of Magento, as this may have unpredictable effects on your shop and other modules might no longer work properly. Additional information can be found in our manual.",Le rogamos que tan solo modifique estos ajustes si está familiarizado con el tratamiento de estados de Magento. Esta modificación puede tener efectos imprevisibles en su tienda y otros módulos podrían dejar de funcionar correctamente. Puede consultar más información en nuestro manual.
Temporary order status:,Estado de pedido temporal:
Define the status for orders which have not been paid yet.,Determine el estado en los pedidos que todavía no se han pagado.
Aborted order status:,Estado de pedido cancelado:
Confirmed order status:,Estado del pedido confirmado:
Define the status for orders which have been successfully completed by SOFORT Banking.,Determine el estado de los pedidos llevados a cabo con éxito a través de SOFORT Banking.
Not create invoice,No crear ninguna factura
(not recommended),(no recomendado)
Not update status,No actualizar ningún estado
Order status for full refunds:,Estado de pedido para reembolsos íntegros:
Define the status for orders which have been prepared for full refunds in the SOFORT AG merchant menu. Bear in mind that refunds usually have to be carried out manually.,"(Determine este estado en los pedidos que se hayan marcado para su devolución íntegra en el Área de Cliente de SOFORT AG. Tenga en cuenta que, aquí, por lo general, las devoluciones de pagos se tienen que efectuar manualmente.)"
Order status for payment receipt:,Estado de pedido para abono:
(Define the status of orders for which payment has been received on your SOFORT Bank account. A SOFORT Bank account is required.),(Determine este estado en los pedidos en los que que se haya recibido un abono en su cuenta de SOFORT Bank. Se requiere una cuenta de SOFORT Bank.)
Order status for losses:,Estado de pedido para impagos:
(Define the status of orders for which no payment or a different amount has been received on your SOFORT Bank account. A SOFORT Bank account is required.),(Determine este estado en los pedidos en los que no se haya recibido ningún abono en cuenta o se haya recibido un importe diferente en su cuenta de SOFORT Bank. Se requiere una cuenta de SOFORT Bank.)
Internal transaction ID of SOFORT AG: %s (please specify for support requests).,Número de transacción interna de SOFORT AG: %s (Por favor indicar en caso de solicitud de soporte ténico).
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]","Redireccionando a SOFORT Banking. Pago todavía no completado. ID de la transacción: [[transaction_id]]. Fecha y hora: [[date]] h"
"Payment aborted. Time: %s","Pago cancelado. Fecha y hora: %s h"
"SOFORT Banking has been completed successfully - Transaction ID: [[transaction_id]]. Time: [[date]]","Transacción de SOFORT Banking efectuada correctamente - ID de la transacción: [[transaction_id]]. Fecha y hora: [[date]] h"
"The payment has not been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","No se ha podido confirmar el abono en la cuenta de SOFORT Bank. Por favor, revise el pago. Fecha y hora: [[date]] h"
"The payment has been received on your SOFORT Bank account. Time: [[date]]","Se ha abonado el importe en la cuenta de SOFORT Bank Fecha y hora: [[date]] h"
"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Se ha detectado un importe diferente al del pedido en la cuenta de SOFORT Bank. Por favor, revise el pago. Fecha y hora: [[date]] h"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Se va a reembolsar una parte del importe - [[refunded_amount]]. Fecha y hora: [[date]] h"
"Amount will be refunded. Time: [[date]]","Se va a reembolsar el importe. Fecha y hora: [[date]] h"
Select the time of invoicing,Seleccione la hora de facturación:
It is not recommended to change this setting,(no se recomienda modificar este ajuste)
After finishing the payment,Tras completar el pago
The receipt of the money ( can be only detected with an account with SOFORT Bank),Al recibir el dinero (solo se puede confirmar si se dispone de una cuenta bancaria de SOFORT)
"If the status shouldn't be updated for this event, please choose as status %s","Si el estado de esta operación no se actualiza con el evento realizado , seleccione el estado %s"
Create credit memo automatically,Crear el abono en cuenta automáticamente
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,Se creará automáticamente un abono en cuenta si se ha devuelto el importe de una transacción en el sistema de SOFORT.
en,es
"Send order confirmation","Enviar confirmación de la orden"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Redireccionando a SOFORT Banking. Pago todavía no completado. ID de la transacción: [[transaction_id]]. Fecha y hora: [[date]] h"
