Status settings, Configuration du statut
Extended settings, Configuration avancée 
"Please set up a project in the merchant menu of SOFORT AG (please make sure to create a 'SOFORT Gateway Project'). In the next step, you just need your configuration key", "Veuillez créer un projet dans le menu commerçant de SOFORT AG (veillez bien à créer un  'Projet SOFORT Gateway' ). À l'étape suivant, il ne vous reste plus qu'à utiliser votre clé de configuration."
Project set-up, Création d'un projet
"In order to offer SOFORT Banking, you need a customer account with SOFORT AG. You are not a customer yet? <a href='https://www.sofort.com/payment/users/register/'>Register now!</a>", "Vous avez besoin d'un compte client auprès de SOFORT AG pour pouvoir proposer SOFORT Banking. Vous ne proposez pas encore SOFORT Banking à vos clients ? <a href='https://www.sofort.com/payment/users/register/'>Enregistrez-vous dès maintenant !</a>"
Registration, Enregistrement
"Just a few steps are required to use SOFORT Banking:", "Avant de pouvoir utiliser SOFORT Banking, quelques étapes sont nécessaires:"
"SOFORT Banking is the direct payment system provided by SOFORT AG. SOFORT Banking allows buyers to make a wire transfer of the respective amount during the order process using their online banking account. You as a merchant will receive a real-time confirmation after the SOFORT Banking transaction has been completed. This enables you to immediately ship goods on stock and digital goods - and the buyer will receive the purchased items faster. Learn more about SOFORT Banking and SOFORT AG at <a href='http://www.sofort.com' target='_blank'>sofort.com</a>", "SOFORT Banking est le système de virement direct de SOFORT AG. En utilisant SOFORT Banking, les clients peuvent, en cours de commande, effectuer un virement du montant correspondant dans le compte de leur banque en ligne. Une fois le virement effectué avec SOFORT Banking, les commerçants reçoivent une confirmation de la transaction en temps réel, ce qui leur permet d'envoyer immédiatement la marchandise en stock ou les articles numériques. Le client peut donc recevoir sa commande plus rapidement. Pour en savoir plus sur SOFORT Banking et SOFORT AG, rendez-vous sur <a href='http://www.sofort.com' target='_blank'>sofort.com</a>."
"<li>Payment system with data protection certified by TÜV Saarland</li><li>No registration required</li><li>Stock goods/content can be shipped/activated immediately</li><li>Please have your online banking details ready</li>", "<li>Système de paiement certifié TÜV (organisme allemand de contrôle et de normalisation) et protection des données certifiée</li><li>Enregistrement ne pas nécessaire</li><li>L'article/le contenu peut être immédiatement expédié/activé en cas de disponibilité</li><li>Veuillez tenir à disposition vos données de banque en ligne (code confidentiel/code secret)</li>"
Buyer protection for payment by SOFORT Banking! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">More information.</a>, En effectuant votre paiement avec SOFORT Banking, vous profitez de la protection du consommateur ! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">En savoir plus.</a>
Send receipt emails, Envoyer les e-mails de confirmation
Customer protection active, Activer protection des données
SOFORT Banking, SOFORT Banking
Set-up and configuration, Installation et configuration
Your benefits,Vos avantages:
About SOFORT Banking,À propos de SOFORT Banking
Only your configuration key will be needed in the next steps.,"À l'étape suivant, vous avez juste besoin de votre clé de configuration."
Module configuration,Configuration du module
Settings,Configurations de base
Activate the module and enter the configuration key. SOFORT Banking will be immediately available in your checkout. Additional settings are not required.,Activez tout simplement le module et saisissez votre clé de configuration. SOFORT Banking est alors immédiatement disponible dans votre sortie de caisse. Vous n'avez plus besoin d'effectuer d'autres réglages.
Activate SOFORT Banking in your shop,Activez SOFORT Banking dans votre système de vente
Use the main website setting,Utiliser le réglage principal du site
Configuration key:,Clé de configuration:
Adjust the SOFORT Banking module properties here. <a onclick='%s'>(Click to open)</a>,Adaptez ici le comportement du module SOFORT Banking. <a onclick='%s'>(Cliquer pour ouvrir)</a>
Display settings in the checkout,Réglages de l'affichage en sortie de caisse
Sort sequence:,Séquence d'affichage:
Display in the checkout:,Représentation en sortie de caisse :
Please bear in mind that to offer buyer protection to your customers you will need a SOFORT Bank account and activate the feature buyer protection in your project settings,Veuillez noter qu'il vous faut avoir un compte SOFORT Bank et activer la protection du consommateur dans les configurations projet pour proposer la protection du consommateur à vos clients.
Show only for specific countries:,Afficher uniquement pour certains pays :
Reference settings,Configurations de la référence de paiement
Reference:,Référence de paiement
Reference 2:,Référence de paiement 2
