Status settings, Statusinstellingen
Extended settings, Uitgebreide instellingen
"Please set up a project in the merchant menu of SOFORT AG (please make sure to create a 'SOFORT Gateway Project'). In the next step, you just need your configuration key", "Maak in het klantaccount van SOFORT AG een project aan (let er hierbij op dat u een 'SOFORT Gateway-project' aanmaakt). U hebt in de volgende stap slechts uw configuratiesleutel nodig."
Project set-up, Aanmaken van een project
"In order to offer SOFORT Banking, you need a customer account with SOFORT AG. You are not a customer yet? <a href='https://www.sofort.com/payment/users/register/'>Register now!</a>", "Om SOFORT Banking te kunnen aanbieden heeft u een klantaccount bij SOFORT AG nodig. U bent nog geen klant? <a href='https://www.sofort.com/payment/users/register/'>Registreert u zich dan nu!</a>"
Registration, Registratie
"Just a few steps are required to use SOFORT Banking:", "Om SOFORT Banking te kunnen gebruiken zijn er enkele stappen nodig:"
"SOFORT Banking is the direct payment system provided by SOFORT AG. SOFORT Banking allows buyers to make a wire transfer of the respective amount during the order process using their online banking account. You as a merchant will receive a real-time confirmation after the SOFORT Banking transaction has been completed. This enables you to immediately ship goods on stock and digital goods - and the buyer will receive the purchased items faster. Learn more about SOFORT Banking and SOFORT AG at <a href='http://www.sofort.com' target='_blank'>sofort.com</a>", "SOFORT Banking is het direct-overschrijvingssysteem van SOFORT AG. Met SOFORT Banking maken consumenten nog tijdens hun bestelling handig het openstaande bedrag over naar uw online-banking-rekening. U als webwinkelier ontvangt na het afsluiten van de overschrijving met SOFORT Banking een bevestiging in realtime. Zo kunt u goederen uit het magazijn of digitale goederen direct versturen - en ontvangt de consument zijn producten sneller. Meer over SOFORT Banking en SOFORT AG vindt u op <a href='http://www.sofort.com' target='_blank'>sofort.com</a>"
"<li>Payment system with data protection certified by TÜV Saarland</li><li>No registration required</li><li>Stock goods/content can be shipped/activated immediately</li><li>Please have your online banking details ready</li>", "<li>Door TÜV Saarland gecertificeerd betaalsysteem met gecertificeerde bescherming persoonsgegevens</li><li>Geen registratie nodig</li><li>Product/content kan indien voorradig DIRECT worden verstuurd/vrijgegeven</li><li>Houd uw online-banking gegevens (PIN/TAN) gereed</li>"
Buyer protection for payment by SOFORT Banking! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">More information.</a>, Bij betaling met SOFORT Banking heeft u koperbescherming! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">Meer Informatie.</a>
Send receipt emails, Bevestigings e-mails versturen
Customer protection active, Koperbescherming activeren
SOFORT Banking, SOFORT Banking
Set-up and configuration, Installatie en configuratie
Your benefits,Uw voordelen:
About SOFORT Banking,Over SOFORT Banking
Only your configuration key will be needed in the next steps.,U heeft voor de volgende stap slechts uw configuratiesleutel nodig.
Module configuration,Moduleconfiguratie
Settings,Basisinstellingen
Activate the module and enter the configuration key. SOFORT Banking will be immediately available in your checkout. Additional settings are not required.,Simpelweg de module activeren en de configuratiesleutel invoeren. SOFORT Banking is dan direct in uw checkout beschikbaar. Overige instellingen zijn niet nodig.
Activate SOFORT Banking in your shop,Activeer SOFORT Banking in uw webshop
Use the main website setting,Main website-instelling gebruiken
Configuration key:,Configuratiesleutel:
Adjust the SOFORT Banking module properties here. <a onclick='%s'>(Click to open)</a>,Pas hier het gedrag van de SOFORT Banking-module aan <a onclick='%s'>(klik om te openen)</a>.
Display settings in the checkout,Weergave-instellingen in de checkout
Sort sequence:,Weergavevolgorde:
Display in the checkout:,Weergave in de checkout:
Please bear in mind that to offer buyer protection to your customers you will need a SOFORT Bank account and activate the feature buyer protection in your project settings,Houdt u er rekening mee dat u een SOFORT bankrekening nodig heeft en de kopersbescherming in uw projectinstellingen geactiveerd moet zijn om uw klanten kopersberscherming aan te bieden.
Show only for specific countries:,Uitsluitend voor bepaalde landen weergeven:
Reference settings,Instellingen gebruiksdoeleinde
Reference:,Gebruiksdoeleinde:
Reference 2:,Gebruiksdoeleinde 2:
"The following placeholders are allowed:<br/><ul>
<li>Order number:  {{orderid}}</li>
<li>Customer name: {{name}}</li>
<li>Date: {{date}}</li>
<li>Shop name: {{shopname}}</li>
<li>Transaction: {{transaction}}</li></ul>","De volgende jokers (place holder) zijn toegestaan:<br/><ul>
<li>Bestelnummer: {{orderid}}</li>
<li>Naam klant: {{name}}</li>
<li>Factuurdatum: {{date}}</li>
<li>Naam webshop: {{shopname}}</li>
<li>Transactie: {{transaction}}</li></ul>"
"Please adjust these settings only if you are familiar with status handling of Magento, as this may have unpredictable effects on your shop and other modules might no longer work properly. Additional information can be found in our manual.",Pas deze instellingen alleen aan wanneer u vertrouwd bent met de statusbehandeling van Magento. Dit kan namelijk onvoorziene gevolgen voor uw webshop tot gevolg hebben. Bovendien kunnen andere modules eventueel niet meer correct functioneren. Meer informatie vindt u in ons handboek.
Temporary order status:,Tijdelijke bestelstatus:
Define the status for orders which have not been paid yet.,(Definieer de status voor bestellingen die nog niet betaald zijn.)
Aborted order status:,Geannuleerde bestelstatus:
