Status settings, Ustawienia dotyczące statusu 
Extended settings, Ustawienia rozszerzone
"Please set up a project in the merchant menu of SOFORT AG (please make sure to create a 'SOFORT Gateway Project'). In the next step, you just need your configuration key", "W panelu sprzedawcy SOFORT AG załóż swój projekt (pamiętaj, żeby koniecznie założyć tzw. projekt 'SOFORT Gateway'). W następnym kroku potrzebny Ci będzie jedynie Twój klucz konfiguracyjny"
Project set-up, Założenie projektu
"In order to offer SOFORT Banking, you need a customer account with SOFORT AG. You are not a customer yet? <a href='https://www.sofort.com/payment/users/register/'>Register now!</a>", "Aby móc oferować SOFORT Banking, musisz posiadać konto klienta w SOFORT AG. Nie jesteś jeszcze naszym klientem? <a href='https://www.sofort.com/payment/users/register/'>Zarejestruj się teraz! </a>"
Registration, Rejestracja
"Just a few steps are required to use SOFORT Banking:", "Jeżeli chcesz korzystać z SOFORT Banking, wykonaj kilka kroków opisanych poniżej:"
"SOFORT Banking is the direct payment system provided by SOFORT AG. SOFORT Banking allows buyers to make a wire transfer of the respective amount during the order process using their online banking account. You as a merchant will receive a real-time confirmation after the SOFORT Banking transaction has been completed. This enables you to immediately ship goods on stock and digital goods - and the buyer will receive the purchased items faster. Learn more about SOFORT Banking and SOFORT AG at <a href='http://www.sofort.com' target='_blank'>sofort.com</a>", "SOFORT Banking to proces przelewu bezpośredniego firmy SOFORT AG. Korzystając z SOFORT Banking klienci jeszcze w trakcie składania zamówienia szybko i wygodnie zlecają przelew odpowiedniej kwoty ze swojego konta bankowości internetowej. Ty jako sprzedawca po zakończonej transakcji z SOFORT Banking natychmiast otrzymasz potwierdzenie jej dokonania. Dzięki temu towary, które od razu są dostępne w magazynie oraz produkty cyfrowe, mogą zostać wysłane natychmiast, a zatem klient szybciej otrzyma swoje zakupy. Więcej informacji na temat SOFORT Banking i SOFORT AG znajdziesz na stronie <a href='http://www.sofort.com' target='_blank'>sofort.com</a>."
"<li>Payment system with data protection certified by TÜV Saarland</li><li>No registration required</li><li>Stock goods/content can be shipped/activated immediately</li><li>Please have your online banking details ready</li>", "<li>System płatności z atestowaną przez TÜV Saarland (Niemieckie Stowarzyszenie Nadzoru Technicznego) ochroną danych osobowych</li><li>Brak konieczności rejestracji klienta</li><li>Usługi/towary zostaną natychmiast wysłane</li><li>Przygotuj Twoje dane bankowości internetowej (hasło i jednorazowy kod weryfikacyjny)</li>"
Buyer protection for payment by SOFORT Banking! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">More information.</a>, Płacąc z SOFORT Banking, korzystasz z ochrony kupującego!  <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">Więcej informacji na ten temat.</a>
Send receipt emails, Wyślij e-maile potwierdzające 
Customer protection active, Aktywacja ochrony kupującego
SOFORT Banking, SOFORT Banking
Set-up and configuration, Instalacja i konfiguracja
Your benefits,Korzyści dla Ciebie:
About SOFORT Banking,O SOFORT Banking
Only your configuration key will be needed in the next steps.,W następnym kroku potrzebny Ci będzie jedynie Twój klucz konfiguracyjny
Module configuration,Konfiguracja modułu
Settings,Ustawienia podstawowe
Activate the module and enter the configuration key. SOFORT Banking will be immediately available in your checkout. Additional settings are not required.,"Aktywuj moduł i wpisz klucz konfiguracyjny, a SOFORT Banking od razu pojawi się jako opcja płatności w Twoim koszyku. Dalej idąca konfiguracja nie jest konieczna."
Activate SOFORT Banking in your shop,Aktywuj SOFORT Banking w swoim sklepie internetowym.
Use the main website setting,Użyj ustawień ze strony głównej
Configuration key:,Klucz konfiguracyjny:
Adjust the SOFORT Banking module properties here. <a onclick='%s'>(Click to open)</a>,Dostosuj ustawienia modułu SOFORT Banking <a onclick='%s'>(kliknij w celu otwarcia)</a>
Display settings in the checkout,Opcje wyświetlania w zakładce koszyka
Sort sequence:,Kolejność wyświetlania :
Display in the checkout:,Sposób prezentacji w zakładce koszyka:
Please bear in mind that to offer buyer protection to your customers you will need a SOFORT Bank account and activate the feature buyer protection in your project settings,"Pamiętaj, że musisz posiadać konto w SOFORT Banku i aktywować ochronę kupujących w ustawieniach Twojego projektu, jeżeli chcesz oferować taką ochronę swoim klientom."
Show only for specific countries:,Wyświetlić tylko dla niektórych krajów:
Reference settings,Ustawienia dotyczące tytułu przelewu
Reference:,Tytuł przelewu:
Reference 2:,Tytuł przelewu 2:
"The following placeholders are allowed:<br/><ul>
<li>Order number:  {{orderid}}</li>
<li>Customer name: {{name}}</li>
<li>Date: {{date}}</li>
<li>Shop name: {{shopname}}</li>
<li>Transaction: {{transaction}}</li></ul>","Można użyć następujących wypełniaczy:<br/><ul>
<li>Numer zamówienia:  {{orderid}}</li>
<li>Klient:  {{name}}</li>
<li>Data:  {{date}}</li>
<li>Nazwa sklepu: {{shopname}}</li>
<li>Transakcja {{transaction}}</li></ul>"
