Status settings, Nastavenia stavu
Extended settings, Pokročilé nastavenia
"Please set up a project in the merchant menu of SOFORT AG (please make sure to create a 'SOFORT Gateway Project'). In the next step, you just need your configuration key", "Prosím, zriaďte si v Menu pre predajcov spoločnosti SOFORT AG projekt (dbajte, prosím, na to, aby ste založili 'SOFORT Gateway projekt'). V ďalšom kroku potrebujete len Váš konfiguračný kľúč"
Project set-up, Zriadenie projektu
"In order to offer SOFORT Banking, you need a customer account with SOFORT AG. You are not a customer yet? <a href='https://www.sofort.com/payment/users/register/'>Register now!</a>", "Aby ste mohli SOFORT Banking ponúkať, potrebujete zákaznícky účet u spoločnosti SOFORT AG. Ešte nie ste zákazníkom? <a href='https://www.sofort.com/payment/users/register/'>Registrujte sa teraz!</a>"
Registration, Registrácia
"Just a few steps are required to use SOFORT Banking:", "Ak chcete využívať SOFORT Banking, je potrebných niekoľko krokov:"
"SOFORT Banking is the direct payment system provided by SOFORT AG. SOFORT Banking allows buyers to make a wire transfer of the respective amount during the order process using their online banking account. You as a merchant will receive a real-time confirmation after the SOFORT Banking transaction has been completed. This enables you to immediately ship goods on stock and digital goods - and the buyer will receive the purchased items faster. Learn more about SOFORT Banking and SOFORT AG at <a href='http://www.sofort.com' target='_blank'>sofort.com</a>", "Sofort Banking je spôsob platby príkazom na úhradu spoločnosti SOFORT AG. Cez SOFORT Banking nastavujú kupujúci ešte počas objednávania prevod príslušnej čiastky pohodlne na svoj účet internet bankingu. Vy ako obchodník dostanete po ukončení prevodu cez SOFORT Banking potvrdenie v reálnom čase. Tak môžete tovar na sklade a digitálny tovar odoslať okamžite - a kupujúci dostane svoj nákup rýchlejšie. Viac sa o platobnom systéme SOFORT Banking a spoločnosti SOFORT AG dozviete na <a href='http://www.sofort.com' target='_blank'>sofort.com</a>"
"<li>Payment system with data protection certified by TÜV Saarland</li><li>No registration required</li><li>Stock goods/content can be shipped/activated immediately</li><li>Please have your online banking details ready</li>", "<li>Platobný systém s certifikáciou TÜV Saarland a overenou ochranou osobných údajov</li><li>Registrácia nie je potrebná</li><li> Tovar / digitálny obsah sa v prípade dostupnosti dá zaslať / aktivovať okamžite</li><li> Pripravte si prosím Vaše údaje pre internet banking (prihlasovacie a autorizačné údaje)</li>"
Buyer protection for payment by SOFORT Banking! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">More information.</a>, Pri platení cez SOFORT Banking využívate ochranu kupujúceho! <a href="https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/">Viac informácií.</a>
Send receipt emails, Odoslať dokladové e-maily
Customer protection active, Aktivovať ochranu kupujúceho
SOFORT Banking, SOFORT Banking
Set-up and configuration, Zriadenie a konfigurácia
Your benefits,Vaše výhody:
About SOFORT Banking,Čo je SOFORT Banking
Only your configuration key will be needed in the next steps.,V nasledujúcom kroku potrebujete iba Váš konfiguračný kľúč.
Module configuration,Konfigurácia modulu
Settings,Základné nastavenia
Activate the module and enter the configuration key. SOFORT Banking will be immediately available in your checkout. Additional settings are not required.,Jednoducho aktivovujte modul a zadajte konfiguračný kľúč. SOFORT Banking je tak okamžite k dispozícii vo Vašich možnostiach platby. Ďalšie nastavenia nie sú potrebné.
